iter	Passed	Remaining
261	683	1925
262	685	1921
263	688	1918
264	691	1916
265	693	1914
266	695	1910
267	697	1906
268	699	1901
269	702	1898
270	705	1898
271	707	1893
272	709	1889
273	711	1884
274	713	1880
275	715	1877
276	717	1873
277	721	1872
278	722	1867
279	724	1863
280	726	1858
281	728	1854
282	730	1849
283	732	1846
284	735	1844
285	737	1840
286	739	1836
287	741	1832
288	742	1827
289	744	1823
290	746	1818
291	749	1816
292	751	1812
293	753	1809
294	755	1806
295	758	1802
296	760	1799
297	762	1795
298	764	1792
299	766	1788
300	768	1784
301	770	1780
302	772	1777
303	774	1773
304	776	1769
305	779	1767
306	781	1763
307	783	1759
308	785	1755
309	788	1755
310	791	1753
311	793	1749
312	796	1747
313	798	1743
314	799	1739
315	802	1736
316	804	1734
317	806	1730
318	809	1727
319	811	1724
320	813	1720
321	816	1719
322	818	1714
323	820	1711
324	822	1707
325	826	1707
326	828	1704
327	830	1702
328	832	1697
329	834	1694
330	836	1690
331	839	1688
332	841	1685
333	843	1681
334	845	1677
335	847	1674
336	849	1670
337	850	1666
338	852	1662
339	855	1661
340	858	1658
341	860	1654
342	861	1650
343	863	1646
344	865	1642
345	866	1638
346	871	1639
347	873	1636
348	875	1632
349	876	1627
350	878	1624
351	880	1620
352	881	1616
353	884	1614
354	887	1611
355	888	1607
356	890	1604
357	893	1602
358	897	1601
359	900	1601
360	903	1598
361	905	1596
362	910	1596
363	912	1594
364	916	1594
365	920	1595
366	925	1596
367	927	1592
368	929	1588
369	939	1599
370	942	1598
371	945	1596
372	949	1595
373	951	1592
374	955	1592
375	958	1590
376	960	1587
377	963	1584
378	966	1584
379	971	1584
380	974	1583
381	976	1580
382	979	1577
383	982	1575
384	986	1575
385	991	1577
386	994	1575
387	997	1572
388	1000	1572
389	1003	1569
390	1006	1567
391	1008	1564
392	1011	1562
393	1015	1562
394	1019	1560
395	1022	1559
396	1026	1559
397	1030	1559
398	1033	1557
399	1038	1557
400	1041	1556
401	1046	1556
402	1050	1556
403	1053	1554
404	1057	1552
405	1059	1550
406	1062	1547
407	1064	1544
408	1066	1541
409	1068	1537
410	1070	1534
411	1073	1531
412	1078	1532
413	1081	1530
414	1083	1527
415	1086	1524
416	1088	1521
417	1092	1520
418	1096	1519
419	1098	1517
420	1103	1517
421	1107	1517
422	1110	1515
423	1115	1514
424	1118	1512
425	1122	1511
426	1124	1509
427	1127	1506
428	1130	1504
429	1132	1501
430	1137	1501
431	1139	1498
432	1142	1495
433	1144	1492
434	1146	1489
435	1149	1486
436	1153	1486
437	1156	1483
438	1159	1481
439	1161	1478
440	1164	1475
441	1168	1475
442	1171	1472
443	1173	1469
444	1175	1466
445	1177	1462
446	1180	1460
